,Metabolite,Formula,Polarity (z),mz,ppm,RT,RT_range,Detection,np OLFR2 A,np OLFR2 B,np OLFR2 C,np GPI1 A,np GPI1 B,NP GPI1 C,p OLFR2 A,p OLFR2 B,p GPI1 A,p GPI1 B,np_vs_p_ttest_pval,np_vs_p_Log2FoldChange,np_vs_p_impact_score,p_vs_np_ttest_pval,p_vs_np_Log2FoldChange,p_vs_np_impact_score
478,Uridine diphosphate glucose-13C-8,C15H24N2O17P2-13C-8,-,573.0746,-1.5,13.63,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
479,Uridine diphosphate glucose-13C-9,C15H24N2O17P2-13C-9,-,574.0779,4.6,13.57,0.08,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
480,Uridine diphosphate glucose-13C-10,C15H24N2O17P2-13C-10,-,575.0813,0.2,13.55,0.1,7,16377,-,23882,-,-,13513,21797,22481,20120,15642,0.08360452031244857,-0.5192155506665987,0.0,0.08360452031244857,0.5192155506665987,0.0
481,Uridine diphosphate glucose-13C-11,C15H24N2O17P2-13C-11,-,576.0846,-5.6,13.61,0.1,10,177140,104972,155120,84846,100828,103791,158361,198654,101632,117313,0.39223537069910097,-0.2495771712515849,0.0,0.39223537069910097,0.24957717125158516,0.0
482,Uridine diphosphate glucose-13C-12,C15H24N2O17P2-13C-12,-,577.088,1.0,13.61,0.1,10,33879,21076,33118,20444,27055,29431,32885,38802,18808,27913,0.6501291963236302,-0.1062368027380419,0.0,0.6501291963236302,0.10623680273804176,0.0
483,Uridine diphosphate glucose-13C-13,C15H24N2O17P2-13C-13,-,578.0914,-2.7,13.64,0.1,10,54841,33756,39737,28879,34183,30607,35583,52671,18824,32682,0.7856729086033578,0.08266515823411813,0.0,0.7856729086033578,-0.0826651582341181,0.0
484,Uridine diphosphate glucose-13C-14,C15H24N2O17P2-13C-14,-,579.0947,-0.5,13.61,0.1,7,15595,18566,16919,13532,18552,12011,-,23728,-,-,0.4469601184469323,0.2399460286788005,0.0,0.4469601184469323,-0.2399460286788005,0.0
485,Uridine diphosphate glucose-13C-15,C15H24N2O17P2-13C-15,-,580.0981,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
486,Palmitic acid-13C-0,C16H32O2-13C-0,-,255.233,-4.5,2.8,0.07,1,-,-,-,-,-,-,-,6562110,-,-,0.24150397191306,-0.10948981720376856,23.0,0.24150397191306,0.10948981720376848,23.0
487,Palmitic acid-13C-1,C16H32O2-13C-1,-,256.2363,-5.9,2.8,0.07,1,-,-,-,-,-,-,-,555832,-,-,0.24150397191306,-0.0037232440280773344,2.0,0.24150397191306,0.003723244028077264,2.0
488,Palmitic acid-13C-2,C16H32O2-13C-2,-,257.2397,-4.1,2.81,0.06,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
489,Palmitic acid-13C-3,C16H32O2-13C-3,-,258.243,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
